bigg,ms
PPA,PPA_c0
ACLS,ACLS_c0
PDHam1hi,PDHam1hi_c0
ECH,ECH_c0
AHEXASE3,AHEXASE3_c0
CLBH,CLBH_c0
PPBNGS,PPBNGS_c0
HMBS,HMBS_c0
ATPS,ATPS_c0
GLUS,GLUS_c0
NADK,NADK_c0
GLUSy,GLUSy_c0
ADK1,ADK1_c0
DPCOAK,DPCOAK_c0
UREA,UREA_c0
NMNAT,NMNAT_c0
HAMR,HAMR_c0
NDPK2,NDPK2_c0
UMPK,UMPK_c0
FMNAT,FMNAT_c0
METAT,METAT_c0
NTD7,NTD7_c0
BPNT,BPNT_c0
ADPT,ADPT_c0
AHCi,AHCi_c0
PPDK,PPDK_c0
PFL,PFL_c0
ME2,ME2_c0
ACALD,ACALD_c0
PTAr,PTAr_c0
ACS,ACS_c0
ACADCOAT,ACADCOAT_c0
GLU5K,GLU5K_c0
GLUDy,GLUDy_c0
OPAH,OPAH_c0
GLNS,GLNS_c0
NADS2,NADS2_c0
ALATA_L,ALATA_L_c0
ACGS,ACGS_c0
ICDHyr,ICDHyr_c0
OXSCL,OXSCL_c0
GALU,GALU_c0
HEX1,HEX1_c0
ACKr,ACKr_c0
ACADT,ACADT_c0
NDPK1,NDPK1_c0
GK1,GK1_c0
PPGPPDP,PPGPPDP_c0
PC,PC_c0
CS,CS_c0
ASPTA,ASPTA_c0
AGT,AGT_c0
GLYAT,GLYAT_c0
GLYTA,GLYTA_c0
ALAR,ALAR_c0
UAG2EMA,UAG2EMA_c0
UAGP2UAG,UAGP2UAG_c0
UAG4Ei,UAG4Ei_c0
UAG2E,UAG2E_c0
GTPCII2,GTPCII2_c0
NTPP2,NTPP2_c0
NTPH,NTPH_c0
GTPDPK,GTPDPK_c0
PEPCK_re,PEPCK_re_c0
DAPDC,DAPDC_c0
LYSDC,LYSDC_c0
HOGL,HOGL_c0
ASPK,ASPK_c0
ASNS2,ASNS2_c0
ASP1DC,ASP1DC_c0
ADSK,ADSK_c0
NTD4,NTD4_c0
CYTK1,CYTK1_c0
CYTDK1,CYTDK1_c0
UTCY,UTCY_c0
CYTDK2,CYTDK2_c0
SADT,SADT_c0
RBFK,RBFK_c0
DCTPD2,DCTPD2_c0
NDPK3,NDPK3_c0
CTPS1,CTPS1_c0
CTPS2,CTPS2_c0
CBPS,CBPS_c0
ASNS1,ASNS1_c0
PSP,PSP_c0
SPTc,SPTc_c0
SERAT,SERAT_c0
SGAT,SGAT_c0
TDP,TDP_c0
TMDPPK,TMDPPK_c0
TMDPK,TMDPK_c0
ENO,ENO_c0
UAGCVT,UAGCVT_c0
NTTP8,NTTP8_c0
TRPS2,TRPS2_c0
AROH,AROH_c0
PHETA1,PHETA1_c0
LDH_L,LDH_L_c0
ALDD2x,ALDD2x_c0
ALDD2y,ALDD2y_c0
GLYCLTDx,GLYCLTDx_c0
NTPP9,NTPP9_c0
NDPK9,NDPK9_c0
TYRTA,TYRTA_c0
ACCOAC,ACCOAC_c0
ALCD2x,ALCD2x_c0
G6PDA_1,G6PDA_1_c0
GF6PTA,GF6PTA_c0
CYSDS,CYSDS_c0
G3PD1ir,G3PD1ir_c0
G3PD2,G3PD2_c0
GLYK,GLYK_c0
HSOR,HSOR_c0
SULR_ferr,SULR_ferr_c0
HEX7,HEX7_c0
SBTD_D2,SBTD_D2_c0
MAN1PT,MAN1PT_c0
CYSTA,CYSTA_c0
CYSS,CYSS_c0
AMPTASECG,AMPTASECG_c0
ALDD22x,ALDD22x_c0
PCMT,PCMT_c0
PTA2,PTA2_c0
PACPT,PACPT_c0
MCITS,MCITS_c0
DHFR2i,DHFR2i_c0
THFOR1,THFOR1_c0
DHFR,DHFR_c0
THFOR2,THFOR2_c0
THFGLUS,THFGLUS_c0
FTHFLi,FTHFLi_c0
GHMT2r,GHMT2r_c0
METS,METS_c0
GLGC,GLGC_c0
CEPA,CEPA_c0
G1PCTYT,G1PCTYT_c0
PGCM,PGCM_c0
ITCY,ITCY_c0
NTD2,NTD2_c0
URIK1,URIK1_c0
UPPRT,UPPRT_c0
UTUP,UTUP_c0
URIK2,URIK2_c0
URIK3,URIK3_c0
ANS,ANS_c0
MMOR,MMOR_c0
SHSL4,SHSL4_c0
2HBO,2HBO_c0
CYSTGL,CYSTGL_c0
DOLPMT,DOLPMT_c0
TPI,TPI_c0
MGSA,MGSA_c0
PRPPS,PRPPS_c0
ADPRDP,ADPRDP_c0
RPI,RPI_c0
PPM,PPM_c0
GAPD,GAPD_c0
DRPA,DRPA_c0
TGBPA,TGBPA_c0
ATPPRT,ATPPRT_c0
GLUPRT,GLUPRT_c0
ANPRT,ANPRT_c0
BACCL,BACCL_c0
FUM,FUM_c0
ADSL1r,ADSL1r_c0
ARGSL,ARGSL_c0
LEUTA,LEUTA_c0
ACNMCT,ACNMCT_c0
IPDPTA,IPDPTA_c0
NTD11,NTD11_c0
IMPC,IMPC_c0
IMPD,IMPD_c0
ADSS,ADSS_c0
NDPK8,NDPK8_c0
ALAALAr,ALAALAr_c0
AGMT,AGMT_c0
LHOR,LHOR_c0
NHHA,NHHA_c0
BTCOARx,BTCOARx_c0
POR,POR_c0
OOR3,OOR3_c0
OBFOR,OBFOR_c0
DHAD1,DHAD1_c0
IPPS,IPPS_c0
VALTA,VALTA_c0
MTHFD,MTHFD_c0
MTHFO_nadp,MTHFO_nadp_c0
MOHMT,MOHMT_c0
NTD9,NTD9_c0
GPAR,GPAR_c0
GMPS,GMPS_c0
GMPS2,GMPS2_c0
PRO1x,PRO1x_c0
P5CR,P5CR_c0
FACOAL160,FACOAL160_c0
CYSTL,CYSTL_c0
AHHST,AHHST_c0
SHSL2,SHSL2_c0
